SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,PlayerID,PlayerName,Season
2021-22,203500,Steven Adams,Steven,1610612763,MEM,Memphis Grizzlies,0042100151,2022-04-16T00:00:00,MEM vs. MIN,L,24.066666666666666,0,0,0.0,0,0,0.0,0,0,0.0,1,2,3,3,1,0,0,0,4,0,0,-13,7.1,0,0,6.0,1,3,3,3,3,5,5,5,1,1,1,4,4,4,3,4,4,1,2,2,2,1,7,4,5,7,5,2,1,5,1,203500,Steven Adams,2021-22
2021-22,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042100307,2022-05-29T00:00:00,MIA vs. BOS,L,46.15833333333333,12,21,0.571,0,0,0.0,1,3,0.333,4,7,11,4,0,0,0,0,4,3,25,-8,44.2,1,0,40.0,1,12,12,12,1,2,2,9,1,2,1,14,10,15,2,5,2,4,17,11,10,1,11,13,2,15,3,1,1,3,1,1628389,Bam Adebayo,2021-22
2021-22,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042100306,2022-05-27T00:00:00,MIA @ BOS,W,41.06333333333333,3,6,0.5,0,0,0.0,0,0,0.0,3,6,9,2,4,1,0,0,1,4,6,12,18.8,0,0,19.0,1,1,1,1,3,12,12,14,1,2,1,16,17,16,4,7,7,10,1,6,10,1,1,9,16,7,14,7,1,14,1,1628389,Bam Adebayo,2021-22
2021-22,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042100305,2022-05-25T00:00:00,MIA vs. BOS,L,38.333333333333336,8,15,0.533,0,0,0.0,2,2,1.0,6,4,10,1,1,0,1,2,3,2,18,-23,33.5,1,0,31.0,1,12,12,12,5,4,3,13,1,2,1,12,14,1,1,14,5,13,11,11,3,17,7,18,7,18,8,1,1,8,1,1628389,Bam Adebayo,2021-22
2021-22,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042100304,2022-05-23T00:00:00,MIA @ BOS,L,27.748333333333335,3,5,0.6,0,0,0.0,3,5,0.6,1,5,6,2,3,0,0,1,4,5,9,-16,16.2,0,0,17.0,1,12,12,12,16,12,15,8,1,2,1,8,6,13,11,12,13,10,4,11,10,13,11,8,13,16,18,7,1,16,1,1628389,Bam Adebayo,2021-22
2021-22,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042100303,2022-05-21T00:00:00,MIA @ BOS,W,41.5,15,22,0.682,0,1,0.0,1,1,1.0,2,8,10,6,1,4,1,2,3,6,31,17,66.0,1,0,57.0,1,1,1,1,2,1,1,5,1,1,1,14,15,1,8,4,5,1,11,1,3,17,7,4,1,5,1,1,1,1,1,1628389,Bam Adebayo,2021-22
2021-22,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042100302,2022-05-19T00:00:00,MIA vs. BOS,L,28.716666666666665,3,6,0.5,0,0,0.0,0,1,0.0,3,6,9,2,1,0,0,1,3,3,6,-5,18.8,0,0,17.0,1,12,12,12,14,12,12,14,1,2,1,16,15,16,4,7,7,10,11,11,10,13,7,13,16,12,14,7,1,16,1,1628389,Bam Adebayo,2021-22
2021-22,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042100301,2022-05-17T00:00:00,MIA vs. BOS,W,37.483333333333334,3,4,0.75,0,0,0.0,4,5,0.8,0,4,4,1,2,0,4,0,4,4,10,-5,26.3,0,0,23.0,1,1,1,1,6,12,18,3,1,2,1,5,6,8,16,14,16,13,10,11,1,1,11,9,11,12,10,7,1,11,1,1628389,Bam Adebayo,2021-22
2021-22,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042100206,2022-05-12T00:00:00,MIA @ PHI,W,34.46333333333333,5,5,1.0,0,0,0.0,0,0,0.0,1,7,8,0,3,2,1,0,2,3,10,20,25.6,0,0,24.0,1,1,1,1,8,9,15,1,1,2,1,16,17,16,11,5,10,17,4,3,3,1,3,13,11,4,11,7,1,9,1,1628389,Bam Adebayo,2021-22
2021-22,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042100205,2022-05-10T00:00:00,MIA vs. PHI,W,27.611666666666668,4,7,0.571,0,0,0.0,4,7,0.571,1,5,6,0,0,1,2,0,1,4,12,22,28.2,0,0,24.0,1,1,1,1,17,11,11,9,1,2,1,5,5,14,11,12,13,17,17,6,2,1,1,9,10,3,9,7,1,9,1,1628389,Bam Adebayo,2021-22
2021-22,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042100204,2022-05-08T00:00:00,MIA @ PHI,L,33.333333333333336,9,12,0.75,0,0,0.0,3,3,1.0,1,6,7,4,1,0,0,0,4,4,21,-5,34.4,0,0,32.0,1,12,12,12,11,3,4,3,1,2,1,8,10,1,11,7,12,4,11,11,10,1,11,9,5,12,7,7,1,7,1,1628389,Bam Adebayo,2021-22
2021-22,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042100203,2022-05-06T00:00:00,MIA @ PHI,L,33.595,2,9,0.222,0,0,0.0,5,8,0.625,0,3,3,1,3,2,0,1,5,7,9,-22,17.1,0,0,17.0,1,12,12,12,10,17,9,17,1,2,1,4,2,12,16,17,18,13,4,3,10,13,18,2,13,17,17,7,1,16,1,1628389,Bam Adebayo,2021-22
2021-22,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042100202,2022-05-04T00:00:00,MIA vs. PHI,W,32.766666666666666,7,11,0.636,0,0,0.0,9,11,0.818,3,6,9,3,1,1,0,0,3,7,23,15,40.3,0,0,37.0,1,1,1,1,12,6,5,6,1,2,1,1,1,7,4,7,7,8,11,6,10,1,7,2,4,6,5,7,1,5,1,1628389,Bam Adebayo,2021-22
2021-22,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042100201,2022-05-02T00:00:00,MIA vs. PHI,W,33.776666666666664,8,10,0.8,0,0,0.0,8,8,1.0,3,9,12,4,3,2,1,0,2,6,24,26,50.4,1,0,46.0,1,1,1,1,9,4,8,2,1,2,1,2,2,1,4,1,1,4,4,3,3,1,3,4,3,2,2,1,1,2,1,1628389,Bam Adebayo,2021-22
2021-22,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042100105,2022-04-26T00:00:00,MIA vs. ATL,W,41.025,7,11,0.636,0,0,0.0,6,8,0.75,2,9,11,4,3,1,1,0,4,9,20,5,42.2,1,0,39.0,1,1,1,1,4,6,5,6,1,2,1,3,2,9,8,1,2,4,4,6,3,1,11,1,6,10,4,1,1,4,1,1628389,Bam Adebayo,2021-22
2021-22,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042100104,2022-04-24T00:00:00,MIA @ ATL,W,29.733333333333334,6,11,0.545,0,0,0.0,2,3,0.667,4,4,8,1,1,0,0,0,4,6,14,8,24.1,0,0,23.0,1,1,1,1,13,8,5,12,1,2,1,12,10,11,2,14,10,13,11,11,10,1,11,4,8,9,12,7,1,11,1,1628389,Bam Adebayo,2021-22
2021-22,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042100103,2022-04-22T00:00:00,MIA @ ATL,L,34.983333333333334,5,9,0.556,0,0,0.0,3,3,1.0,2,9,11,5,3,3,0,0,2,6,13,11,39.7,1,0,35.0,1,12,12,12,7,9,9,11,1,2,1,8,10,1,8,1,2,2,4,2,10,1,3,4,9,8,6,1,1,6,1,1628389,Bam Adebayo,2021-22
2021-22,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042100102,2022-04-19T00:00:00,MIA vs. ATL,W,23.6,3,6,0.5,0,0,0.0,3,4,0.75,1,3,4,3,4,0,1,1,4,3,9,-1,17.3,0,0,18.0,1,1,1,1,18,12,12,14,1,2,1,8,8,9,11,17,16,8,1,11,3,13,11,13,13,11,16,7,1,15,1,1628389,Bam Adebayo,2021-22
2021-22,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042100101,2022-04-17T00:00:00,MIA vs. ATL,W,27.85,1,5,0.2,0,0,0.0,4,4,1.0,0,6,6,5,4,1,1,0,2,3,6,27,22.7,0,0,21.0,1,1,1,1,15,18,15,18,1,2,1,5,8,1,16,7,13,2,1,6,3,1,3,13,16,1,13,7,1,13,1,1628389,Bam Adebayo,2021-22
2021-22,1629638,Nickeil Alexander-Walker,Nickeil,1610612762,UTA,Utah Jazz,0042100175,2022-04-25T00:00:00,UTA @ DAL,L,4.683333333333334,2,2,1.0,0,0,0.0,1,1,1.0,0,1,1,1,0,1,0,0,0,1,5,4,10.7,0,0,9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1629638,Nickeil Alexander-Walker,2021-22
2021-22,1628960,Grayson Allen,Grayson,1610612749,MIL,Milwaukee Bucks,0042100217,2022-05-15T00:00:00,MIL @ BOS,L,21.633333333333333,0,6,0.0,0,4,0.0,1,2,0.5,0,3,3,0,0,0,0,0,1,3,1,-5,4.6,0,0,4.0,1,8,8,8,10,10,8,10,7,5,7,1,2,5,6,3,4,9,7,5,5,1,3,1,10,7,12,1,1,12,1,1628960,Grayson Allen,2021-22
2021-22,1628960,Grayson Allen,Grayson,1610612749,MIL,Milwaukee Bucks,0042100216,2022-05-13T00:00:00,MIL vs. BOS,L,22.141666666666666,1,7,0.143,0,4,0.0,1,1,1.0,1,2,3,1,1,0,0,1,3,1,3,-29,7.1,0,0,7.0,1,8,8,8,9,8,5,9,7,5,7,1,4,1,1,6,4,3,3,5,5,9,9,7,8,12,9,1,1,9,1,1628960,Grayson Allen,2021-22
2021-22,1628960,Grayson Allen,Grayson,1610612749,MIL,Milwaukee Bucks,0042100215,2022-05-11T00:00:00,MIL @ BOS,W,29.711666666666666,3,7,0.429,1,2,0.5,1,1,1.0,1,1,2,5,3,0,1,0,2,2,8,5,17.9,0,0,18.0,1,1,1,1,1,5,5,6,5,9,3,1,4,1,1,10,7,1,1,5,1,1,6,3,5,4,5,1,1,5,1,1628960,Grayson Allen,2021-22
2021-22,1628960,Grayson Allen,Grayson,1610612749,MIL,Milwaukee Bucks,0042100214,2022-05-09T00:00:00,MIL vs. BOS,L,28.79,3,7,0.429,1,4,0.25,0,0,0.0,1,1,2,1,0,0,0,0,1,0,7,-10,10.9,0,0,11.0,1,8,8,8,3,5,5,6,5,5,6,8,8,8,1,10,7,3,7,5,5,1,3,10,6,11,7,1,1,6,1,1628960,Grayson Allen,2021-22
2021-22,1628960,Grayson Allen,Grayson,1610612749,MIL,Milwaukee Bucks,0042100213,2022-05-07T00:00:00,MIL vs. BOS,W,25.446666666666665,0,3,0.0,0,3,0.0,0,0,0.0,1,3,4,4,1,0,0,1,4,1,0,-8,9.8,0,0,8.0,1,1,1,1,7,10,11,10,7,8,7,8,8,8,1,3,3,2,3,5,5,9,12,7,11,10,8,1,1,8,1,1628960,Grayson Allen,2021-22
2021-22,1628960,Grayson Allen,Grayson,1610612749,MIL,Milwaukee Bucks,0042100212,2022-05-03T00:00:00,MIL @ BOS,L,28.346666666666668,2,4,0.5,0,1,0.0,1,3,0.333,0,2,2,1,0,0,1,0,1,3,5,-6,11.9,0,0,10.0,1,8,8,8,5,7,9,3,7,12,7,1,1,7,6,6,7,3,7,5,1,1,3,1,7,9,6,1,1,7,1,1628960,Grayson Allen,2021-22
2021-22,1628960,Grayson Allen,Grayson,1610612749,MIL,Milwaukee Bucks,0042100211,2022-05-01T00:00:00,MIL @ BOS,W,28.845,4,8,0.5,3,6,0.5,0,0,0.0,0,2,2,1,1,3,0,1,3,2,11,5,22.9,0,0,23.0,1,1,1,1,2,4,4,3,3,3,3,8,8,8,6,6,7,3,3,1,5,9,9,3,4,4,3,1,1,4,1,1628960,Grayson Allen,2021-22
2021-22,1628960,Grayson Allen,Grayson,1610612749,MIL,Milwaukee Bucks,0042100125,2022-04-27T00:00:00,MIL vs. CHI,W,27.265,5,10,0.5,3,6,0.5,0,0,0.0,0,5,5,1,2,1,0,0,2,0,13,6,21.5,0,0,24.0,1,1,1,1,6,3,3,3,3,3,3,8,8,8,6,2,2,3,2,3,5,1,6,10,3,3,4,1,1,3,1,1628960,Grayson Allen,2021-22
2021-22,1628960,Grayson Allen,Grayson,1610612749,MIL,Milwaukee Bucks,0042100124,2022-04-24T00:00:00,MIL @ CHI,W,28.4,10,12,0.833,6,7,0.857,1,1,1.0,0,2,2,0,0,3,0,0,0,2,27,23,38.4,0,0,41.0,1,1,1,1,4,1,1,1,1,1,1,1,4,1,6,6,7,9,7,1,5,1,1,3,1,1,1,1,1,1,1,1628960,Grayson Allen,2021-22
2021-22,1628960,Grayson Allen,Grayson,1610612749,MIL,Milwaukee Bucks,0042100123,2022-04-22T00:00:00,MIL @ CHI,W,24.833333333333332,8,12,0.667,5,7,0.714,1,1,1.0,0,6,6,0,0,1,1,1,0,2,22,15,35.2,0,0,37.0,1,1,1,1,8,2,1,2,2,1,2,1,4,1,6,1,1,9,7,3,1,9,1,3,2,2,2,1,1,2,1,1628960,Grayson Allen,2021-22
2021-22,1628960,Grayson Allen,Grayson,1610612749,MIL,Milwaukee Bucks,0042100122,2022-04-20T00:00:00,MIL vs. CHI,L,21.46,1,4,0.25,0,2,0.0,1,2,0.5,1,0,1,1,0,0,0,0,2,1,3,-3,5.7,0,0,5.0,1,8,8,8,11,8,9,8,7,9,7,1,2,5,1,12,12,3,7,5,5,1,6,7,8,6,10,1,1,10,1,1628960,Grayson Allen,2021-22
2021-22,1628960,Grayson Allen,Grayson,1610612749,MIL,Milwaukee Bucks,0042100121,2022-04-17T00:00:00,MIL vs. CHI,W,18.438333333333333,0,2,0.0,0,2,0.0,0,0,0.0,0,3,3,0,1,0,1,0,3,0,0,-5,5.6,0,0,5.0,1,1,1,1,12,10,12,10,7,9,7,8,8,8,6,3,4,9,3,5,1,1,9,10,11,7,11,1,1,10,1,1628960,Grayson Allen,2021-22
2021-22,1630631,Jose Alvarado,Jose,1610612740,NOP,New Orleans Pelicans,0042100146,2022-04-28T00:00:00,NOP vs. PHX,L,30.796666666666667,4,8,0.5,0,1,0.0,3,5,0.6,1,2,3,4,2,2,0,1,4,4,11,-3,24.6,0,0,22.0,1,3,3,3,1,1,1,3,5,6,5,2,1,3,1,1,1,1,1,1,2,6,5,1,2,3,1,1,1,1,1,1630631,Jose Alvarado,2021-22
2021-22,1630631,Jose Alvarado,Jose,1610612740,NOP,New Orleans Pelicans,0042100145,2022-04-26T00:00:00,NOP @ PHX,L,20.116666666666667,3,8,0.375,2,6,0.333,4,4,1.0,1,0,1,0,0,2,0,0,3,2,12,-6,19.2,0,0,19.0,1,3,3,3,2,3,1,4,1,1,4,1,2,1,1,5,3,5,5,1,2,1,2,3,1,4,2,1,1,2,1,1630631,Jose Alvarado,2021-22
2021-22,1630631,Jose Alvarado,Jose,1610612740,NOP,New Orleans Pelicans,0042100144,2022-04-24T00:00:00,NOP vs. PHX,W,17.8,1,4,0.25,0,3,0.0,3,4,0.75,0,2,2,1,2,2,0,0,3,3,5,1,12.9,0,0,12.0,1,1,1,1,3,5,4,5,5,2,5,2,2,2,3,1,2,3,1,1,2,1,2,2,5,2,4,1,1,4,1,1630631,Jose Alvarado,2021-22
2021-22,1630631,Jose Alvarado,Jose,1610612740,NOP,New Orleans Pelicans,0042100143,2022-04-22T00:00:00,NOP vs. PHX,L,16.731666666666666,4,6,0.667,1,2,0.5,0,0,0.0,0,1,1,1,2,0,0,0,4,0,9,-15,9.7,0,0,12.0,1,3,3,3,5,1,3,2,3,3,2,4,4,4,3,3,3,3,1,5,2,1,5,5,3,6,5,1,1,4,1,1630631,Jose Alvarado,2021-22
2021-22,1630631,Jose Alvarado,Jose,1610612740,NOP,New Orleans Pelicans,0042100142,2022-04-19T00:00:00,NOP @ PHX,W,17.033333333333335,3,3,1.0,2,2,1.0,0,0,0.0,0,0,0,3,1,1,0,0,3,1,8,3,14.5,0,0,15.0,1,1,1,1,4,3,6,1,1,3,1,4,4,4,3,5,6,2,4,4,2,1,2,4,4,1,3,1,1,3,1,1630631,Jose Alvarado,2021-22
2021-22,1630631,Jose Alvarado,Jose,1610612740,NOP,New Orleans Pelicans,0042100141,2022-04-17T00:00:00,NOP @ PHX,L,14.466666666666667,1,4,0.25,1,2,0.5,0,0,0.0,0,1,1,0,0,0,1,0,1,0,3,-9,7.2,0,0,7.0,1,3,3,3,6,5,4,5,3,3,2,4,4,4,3,3,3,5,5,5,1,1,1,5,6,5,6,1,1,6,1,1630631,Jose Alvarado,2021-22
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0042100236,2022-05-13T00:00:00,MEM @ GSW,L,10.433333333333334,0,0,0.0,0,0,0.0,0,0,0.0,0,3,3,2,1,0,0,0,1,0,0,-2,5.6,0,0,5.0,1,7,7,7,12,11,12,11,4,7,4,7,7,7,9,7,8,3,3,10,7,1,3,9,12,8,12,1,1,12,1,203937,Kyle Anderson,2021-22
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0042100235,2022-05-11T00:00:00,MEM vs. GSW,W,19.095,4,7,0.571,0,1,0.0,1,2,0.5,0,6,6,7,2,1,0,0,0,1,9,2,27.7,0,0,24.0,1,1,1,1,5,2,2,7,4,4,4,6,3,5,9,1,2,1,1,3,7,1,1,5,2,2,2,1,1,2,1,203937,Kyle Anderson,2021-22
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0042100234,2022-05-09T00:00:00,MEM @ GSW,L,22.805,7,8,0.875,1,2,0.5,2,7,0.286,2,6,8,2,1,2,1,0,2,4,17,-7,37.6,0,0,34.0,1,7,7,7,2,1,1,2,1,3,1,1,1,6,1,1,1,3,3,1,2,1,6,1,1,12,1,1,1,1,1,203937,Kyle Anderson,2021-22
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0042100233,2022-05-07T00:00:00,MEM @ GSW,L,16.233333333333334,4,6,0.667,1,3,0.333,0,0,0.0,0,2,2,0,1,1,2,0,2,0,9,-3,19.4,0,0,18.0,1,7,7,7,9,2,4,3,1,2,2,7,7,7,9,8,11,10,3,3,1,1,6,9,2,9,4,1,1,4,1,203937,Kyle Anderson,2021-22
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0042100232,2022-05-03T00:00:00,MEM vs. GSW,W,16.155,2,7,0.286,1,4,0.25,0,0,0.0,0,2,2,1,1,1,0,0,4,1,5,-4,10.9,0,0,11.0,1,1,1,1,10,5,2,9,1,1,3,7,7,7,9,8,11,7,3,3,7,1,11,5,7,10,9,1,1,8,1,203937,Kyle Anderson,2021-22
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0042100231,2022-05-01T00:00:00,MEM vs. GSW,L,18.516666666666666,0,3,0.0,0,0,0.0,2,2,1.0,2,2,4,1,1,0,1,0,2,2,2,0,10.3,0,0,9.0,1,7,7,7,6,11,7,11,4,7,4,1,3,1,1,8,7,7,3,10,2,1,6,2,10,6,10,1,1,10,1,203937,Kyle Anderson,2021-22
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0042100156,2022-04-29T00:00:00,MEM @ MIN,W,11.873333333333333,2,3,0.667,0,0,0.0,0,0,0.0,1,2,3,0,2,1,1,0,1,0,4,1,11.6,0,0,11.0,1,1,1,1,11,5,7,3,4,7,4,7,7,7,3,8,8,10,1,3,2,1,3,9,8,4,8,1,1,8,1,203937,Kyle Anderson,2021-22
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0042100155,2022-04-26T00:00:00,MEM vs. MIN,W,17.528333333333332,3,3,1.0,0,0,0.0,2,2,1.0,1,4,5,0,0,2,1,0,2,1,8,-6,23.0,0,0,19.0,1,1,1,1,8,4,7,1,4,7,4,1,3,1,3,4,4,10,9,1,2,1,6,5,4,11,3,1,1,3,1,203937,Kyle Anderson,2021-22
2021-22,203937,Kyle Anderson,Kyle,1610612763,MEM,Memphis Grizzlies,0042100154,2022-04-23T00:00:00,MEM @ MIN,L,22.441666666666666,2,4,0.5,0,1,0.0,2,2,1.0,1,4,5,2,1,1,0,0,4,1,6,-1,17.0,0,0,15.0,1,7,7,7,3,5,5,8,4,4,4,1,3,1,3,4,4,3,3,3,7,1,11,5,5,7,7,1,1,6,1,203937,Kyle Anderson,2021-22
