SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,PlayerID,PlayerName,Season
2022-23,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042200405,2023-06-12T00:00:00,MIA @ DEN,L,44.13333333333333,9,20,0.45,0,0,0.0,2,2,1.0,5,7,12,1,1,1,0,1,2,3,20,-3,37.9,1,0,35.0,1,14,14,14,2,4,3,14,1,4,1,16,19,1,3,11,6,19,17,6,15,12,5,17,8,14,11,1,2,10,1,1628389,Bam Adebayo,2022-23
2022-23,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042200404,2023-06-09T00:00:00,MIA vs. DEN,L,43.65,8,19,0.421,0,0,0.0,4,4,1.0,2,9,11,3,7,0,1,2,1,5,20,-18,33.7,1,0,36.0,1,14,14,14,3,8,6,16,1,4,1,7,10,1,11,4,8,11,1,15,2,17,2,11,8,20,15,1,2,9,1,1628389,Bam Adebayo,2022-23
2022-23,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042200403,2023-06-07T00:00:00,MIA vs. DEN,L,40.86666666666667,7,21,0.333,0,0,0.0,8,10,0.8,6,11,17,3,0,0,1,3,2,9,22,-20,49.9,1,0,44.0,1,14,14,14,5,12,2,22,1,4,1,1,1,12,2,2,1,11,22,15,2,21,5,1,4,21,3,1,2,3,1,1628389,Bam Adebayo,2022-23
2022-23,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042200402,2023-06-04T00:00:00,MIA @ DEN,W,40.016666666666666,8,14,0.571,0,0,0.0,5,5,1.0,0,9,9,4,3,0,2,0,4,6,21,17,40.8,0,0,38.0,1,1,1,1,6,8,14,5,1,4,1,3,5,1,22,4,12,10,7,15,1,1,14,6,7,5,7,12,2,8,1,1628389,Bam Adebayo,2022-23
2022-23,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042200401,2023-06-01T00:00:00,MIA @ DEN,L,39.965,13,25,0.52,0,1,0.0,0,0,0.0,4,9,13,5,1,0,0,0,4,1,26,-6,48.1,1,0,44.0,1,14,14,14,7,1,1,11,1,1,1,21,22,21,6,4,3,6,17,15,15,1,14,22,1,15,4,1,2,3,1,1628389,Bam Adebayo,2022-23
2022-23,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042200307,2023-05-29T00:00:00,MIA @ BOS,W,42.721666666666664,4,10,0.4,0,0,0.0,4,4,1.0,1,9,10,7,4,0,1,1,3,6,12,22,33.5,1,0,31.0,1,1,1,1,4,19,19,18,1,4,1,7,10,1,18,4,10,3,4,15,2,12,9,6,20,3,16,1,2,16,1,1628389,Bam Adebayo,2022-23
2022-23,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042200306,2023-05-27T00:00:00,MIA vs. BOS,L,45.65,4,16,0.25,0,0,0.0,3,4,0.75,7,6,13,5,0,1,1,3,0,3,11,6,40.1,1,0,33.0,1,14,14,14,1,19,10,23,1,4,1,12,10,14,1,12,3,6,22,6,2,21,1,17,22,10,9,1,2,13,1,1628389,Bam Adebayo,2022-23
2022-23,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042200305,2023-05-25T00:00:00,MIA @ BOS,L,31.883333333333333,8,15,0.533,0,0,0.0,0,0,0.0,2,6,8,3,6,2,1,0,2,2,16,-15,33.1,0,0,33.0,1,14,14,14,19,8,13,10,1,4,1,21,22,21,11,12,15,11,2,1,2,1,5,20,15,19,18,12,2,13,1,1628389,Bam Adebayo,2022-23
2022-23,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042200304,2023-05-23T00:00:00,MIA vs. BOS,L,35.11666666666667,4,7,0.571,0,0,0.0,2,4,0.5,1,4,5,0,4,1,0,1,4,7,10,-21,15.0,0,0,17.0,1,14,14,14,17,19,22,5,1,4,1,16,10,19,18,20,21,22,4,6,15,12,14,4,23,23,23,12,2,23,1,1628389,Bam Adebayo,2022-23
2022-23,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042200303,2023-05-21T00:00:00,MIA vs. BOS,W,25.516666666666666,4,5,0.8,0,0,0.0,5,6,0.833,0,3,3,2,3,1,1,0,3,7,13,30,22.6,0,0,22.0,1,1,1,1,22,19,23,1,1,4,1,3,4,11,22,22,23,14,7,6,2,1,9,4,19,1,22,12,2,22,1,1628389,Bam Adebayo,2022-23
2022-23,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042200302,2023-05-19T00:00:00,MIA @ BOS,W,38.09166666666667,7,17,0.412,0,0,0.0,8,8,1.0,2,15,17,9,1,0,0,2,5,9,22,14,54.9,1,0,48.0,1,1,1,1,13,12,8,17,1,4,1,1,2,1,11,1,1,2,17,15,15,17,20,1,4,7,1,1,2,1,1,1628389,Bam Adebayo,2022-23
2022-23,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042200301,2023-05-17T00:00:00,MIA @ BOS,W,36.95,9,13,0.692,0,0,0.0,2,5,0.4,2,6,8,5,3,1,0,0,3,6,20,18,37.1,0,0,35.0,1,1,1,1,15,4,16,2,1,4,1,16,5,20,11,12,15,6,7,6,15,1,9,6,8,4,12,12,2,10,1,1628389,Bam Adebayo,2022-23
2022-23,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042200206,2023-05-12T00:00:00,MIA vs. NYK,W,38.97,9,20,0.45,0,0,0.0,5,5,1.0,3,6,9,1,2,2,1,3,3,6,23,-6,42.3,0,0,39.0,1,1,1,1,9,4,3,14,1,4,1,3,5,1,8,12,12,19,14,1,2,21,9,6,2,15,6,12,2,7,1,1628389,Bam Adebayo,2022-23
2022-23,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042200205,2023-05-10T00:00:00,MIA @ NYK,L,38.68333333333333,7,11,0.636,0,1,0.0,4,4,1.0,5,3,8,2,2,1,1,0,5,4,18,-11,34.6,0,0,32.0,1,14,14,14,10,12,18,3,1,1,1,7,10,1,3,22,15,14,14,6,2,1,20,13,12,18,14,12,2,15,1,1628389,Bam Adebayo,2022-23
2022-23,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042200204,2023-05-08T00:00:00,MIA vs. NYK,W,38.35,10,17,0.588,0,0,0.0,3,5,0.6,3,10,13,2,4,1,0,2,2,6,23,7,40.6,1,0,40.0,1,1,1,1,11,2,8,4,1,4,1,12,5,18,8,3,3,14,4,6,15,17,5,6,2,9,8,1,2,6,1,1628389,Bam Adebayo,2022-23
2022-23,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042200203,2023-05-06T00:00:00,MIA vs. NYK,W,35.95,7,14,0.5,0,0,0.0,3,4,0.75,4,8,12,0,1,0,1,0,4,3,17,11,33.4,1,0,31.0,1,1,1,1,16,12,14,12,1,4,1,12,10,14,6,9,6,22,17,15,2,1,14,17,14,8,17,1,2,16,1,1628389,Bam Adebayo,2022-23
2022-23,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042200202,2023-05-02T00:00:00,MIA @ NYK,L,38.1,5,10,0.5,0,0,0.0,5,7,0.714,2,6,8,6,1,0,1,0,5,8,15,-9,35.6,0,0,31.0,1,14,14,14,12,18,19,12,1,4,1,3,3,16,11,12,15,5,17,15,2,1,20,3,17,17,13,12,2,16,1,1628389,Bam Adebayo,2022-23
