PLAYER_ID,DISPLAY_FIRST_LAST,POSITION
1631260,AJ Green,Guard
201980,Danny Green,Guard
203110,Draymond Green,Forward
1630224,Jalen Green,Guard
1629750,Javonte Green,Guard
201145,Jeff Green,Forward
1630182,Josh Green,Guard
1631100,AJ Griffin,Forward
1629656,Quentin Grimes,Guard
1631338,Mouhamadou Gueye,Forward
1631243,Mouhamed Gueye,Forward
1629060,Rui Hachimura,Forward
1630204,Ashton Hagans,Guard-Forward
1630169,Tyrese Haliburton,Guard
1630181,R.J. Hampton,Guard
203501,Tim Hardaway Jr.,Guard-Forward
201935,James Harden,Guard
1630702,Jaden Hardy,Guard
1631199,Ron Harper Jr.,Guard-Forward
203914,Gary Harris,Guard
203925,Joe Harris,Guard-Forward
1630284,Kevon Harris,Guard
202699,Tobias Harris,Forward
1627885,Shaquille Harrison,Guard
1628404,Josh Hart,Guard
1628392,Isaiah Hartenstein,Center-Forward
1630573,Sam Hauser,Forward
1641722,Jordan Hawkins,Guard
1629637,Jaxson Hayes,Center-Forward
1630165,Killian Hayes,Guard
202330,Gordon Hayward,Forward
1630703,Scoot Henderson,Guard
1641707,Taylor Hendricks,Forward
1629639,Tyler Herro,Guard
1627741,Buddy Hield,Guard
1629312,Haywood Highsmith,Forward
1630207,Nate Hinton,Guard-Forward
1641793,D’Moi Hodge,Guard
1628988,Aaron Holiday,Guard
201950,Jrue Holiday,Guard
203200,Justin Holiday,Forward-Guard
1626158,Richaun Holmes,Forward
1631096,Chet Holmgren,Center-Forward
1641720,Jalen Hood-Schifino,Guard
201143,Al Horford,Center-Forward
1629659,Talen Horton-Tucker,Guard
1627863,Danuel House Jr.,Forward-Guard
1631216,Caleb Houstan,Guard
1641724,Jett Howard,Guard
1628989,Kevin Huerter,Guard-Forward
1630643,Jay Huff,Center
1629631,De'Andre Hunter,Forward-Guard
1630562,Matt Hurt,Forward
1630538,Bones Hyland,Guard
204060,Joe Ingles,Forward-Guard
1627742,Brandon Ingram,Forward
202681,Kyrie Irving,Guard
