GAME_ID,HOME_TEAM_NAME,AWAY_TEAM_NAME
0022301058,SAS,UTA
0022301049,ORL,GSW
2022300501,SBL,SCW
2022300495,GBO,WES
0022301053,NYK,TOR
0022301050,BKN,WAS
0022301048,CHA,CLE
0022301052,PHI,LAC
2022300493,CCG,DEL
0022301044,MIA,GSW
2022300490,GRG,LIN
0022301047,DAL,SAC
0022301046,OKC,NOP
0022301045,LAL,MIL
2022300489,MNE,CPS
2022300491,STO,MHU
2022300491,MHU,STO
2022300492,AUS,SLC
2022300489,CPS,MNE
0022301044,GSW,MIA
0022301047,SAC,DAL
2022300490,LIN,GRG
0022301046,NOP,OKC
0022301045,MIL,LAL
2022300492,SLC,AUS
0022301035,DET,NYK
0022301040,MEM,DEN
0022301041,DAL,UTA
2022300487,RGV,MXC
0022301034,ATL,BOS
0022301043,LAC,IND
0022301043,IND,LAC
2022300486,WES,GBO
0022301033,CHA,CLE
0022301038,HOU,POR
2022300488,GLI,SBL
0022301035,NYK,DET
0022301037,WAS,CHI
0022301039,SAS,PHX
0022301040,DEN,MEM
0022301042,PHI,SAC
0022301038,POR,HOU
0022301036,TOR,BKN
2022300486,GBO,WES
2022300485,OSC,IWA
0022301037,CHI,WAS
0022301033,CLE,CHA
0022301039,PHX,SAS
2022300487,MXC,RGV
2022300488,SBL,GLI
0022301041,UTA,DAL
2022300485,IWA,OSC
0022301034,BOS,ATL
0022301042,SAC,PHI
0022301036,BKN,TOR
0022301029,MIA,CLE
2022300484,RCR,AUS
0022301030,MIL,OKC
0022301031,MIN,GSW
2022300480,WCB,CCG
2022300481,DEL,LIN
2022300480,CCG,WCB
0022301028,PHI,LAC
0022301032,IND,LAL
2022300482,CLC,SXF
0022301030,OKC,MIL
0022301029,CLE,MIA
2022300484,AUS,RCR
2022300483,ONT,TEX
0022301027,NOP,DET
0022301027,DET,NOP
0022301031,GSW,MIN
2022300483,TEX,ONT
0022301028,LAC,PHI
2022300481,LIN,DEL
0022301032,LAL,IND
2022300482,SXF,CLC
2022300471,RAP,WIS
0022301026,DEN,POR
2022300473,MCC,GRG
2022300476,STO,SCW
2022300478,ONT,TEX
2022300477,SBL,RGV
2022300479,GLI,SLC
0022301021,ATL,CHA
0022301024,HOU,UTA
2022300479,SLC,GLI
