PLAYER_NAME,TEAM_NAME,Efficiency_HOME,LOCATION_HOME,Efficiency_AWAY,LOCATION_AWAY,Efficiency_DIFF
Brandon Boston Jr.,LA Clippers,4.64,HOME,3.11,AWAY,1.5299999999999998
Tyus Jones,Washington Wizards,16.55,HOME,18.08,AWAY,1.5299999999999976
Keita Bates-Diop,Phoenix Suns,5.27,HOME,6.79,AWAY,1.5200000000000005
Cam Whitmore,Houston Rockets,11.42,HOME,9.91,AWAY,1.5099999999999998
Jaylen Brown,Boston Celtics,22.07,HOME,20.57,AWAY,1.5
Matt Hurt,Memphis Grizzlies,5.0,HOME,3.5,AWAY,1.5
Ryan Rollins,Washington Wizards,4.5,HOME,6.0,AWAY,1.5
Jevon Carter,Chicago Bulls,3.33,HOME,4.82,AWAY,1.4900000000000002
Kevin Huerter,Sacramento Kings,10.73,HOME,12.21,AWAY,1.4800000000000004
Noah Clowney,Brooklyn Nets,8.92,HOME,7.45,AWAY,1.4699999999999998
Malik Monk,Sacramento Kings,14.38,HOME,15.85,AWAY,1.4699999999999989
Ochai Agbaji,Toronto Raptors,7.53,HOME,6.08,AWAY,1.4500000000000002
Caleb Martin,Miami Heat,11.97,HOME,10.53,AWAY,1.4400000000000013
Precious Achiuwa,New York Knicks,12.46,HOME,13.9,AWAY,1.4399999999999995
Grayson Allen,Phoenix Suns,15.17,HOME,16.6,AWAY,1.4300000000000015
Kenneth Lofton Jr.,Memphis Grizzlies,1.88,HOME,3.29,AWAY,1.4100000000000001
Vit Krejci,Atlanta Hawks,8.79,HOME,7.38,AWAY,1.4099999999999993
Zavier Simpson,Memphis Grizzlies,6.0,HOME,7.4,AWAY,1.4000000000000004
Darius Bazley,Utah Jazz,12.4,HOME,11.0,AWAY,1.4000000000000004
Seth Curry,Charlotte Hornets,8.0,HOME,9.4,AWAY,1.4000000000000004
Mike Conley,Minnesota Timberwolves,14.85,HOME,16.25,AWAY,1.4000000000000004
E.J. Liddell,New Orleans Pelicans,0.0,HOME,1.4,AWAY,1.4
Trendon Watford,Brooklyn Nets,7.64,HOME,9.04,AWAY,1.3999999999999995
Nickeil Alexander-Walker,Minnesota Timberwolves,9.68,HOME,8.29,AWAY,1.3900000000000006
Donovan Mitchell,Cleveland Cavaliers,25.24,HOME,26.62,AWAY,1.3800000000000026
Dario Saric,Golden State Warriors,9.93,HOME,11.31,AWAY,1.3800000000000008
Monte Morris,Minnesota Timberwolves,7.56,HOME,6.18,AWAY,1.38
Kendall Brown,Indiana Pacers,2.0,HOME,0.62,AWAY,1.38
Isaiah Stewart,Detroit Pistons,15.0,HOME,13.63,AWAY,1.3699999999999992
Furkan Korkmaz,Philadelphia 76ers,2.06,HOME,3.42,AWAY,1.3599999999999999
Giannis Antetokounmpo,Milwaukee Bucks,35.74,HOME,37.09,AWAY,1.3500000000000014
Jeff Green,Houston Rockets,7.41,HOME,6.06,AWAY,1.3500000000000005
Theo Maledon,Charlotte Hornets,3.25,HOME,4.6,AWAY,1.3499999999999996
Ryan Arcidiacono,New York Knicks,0.77,HOME,-0.57,AWAY,1.3399999999999999
Jonas Valanciunas,New Orleans Pelicans,17.98,HOME,19.32,AWAY,1.3399999999999999
Jaden McDaniels,Minnesota Timberwolves,9.9,HOME,11.24,AWAY,1.3399999999999999
Thomas Bryant,Miami Heat,8.87,HOME,7.53,AWAY,1.339999999999999
Jacob Gilyard,Brooklyn Nets,1.0,HOME,2.33,AWAY,1.33
Admiral Schofield,Orlando Magic,0.29,HOME,1.62,AWAY,1.33
Svi Mykhailiuk,Boston Celtics,4.87,HOME,3.54,AWAY,1.33
Jamal Cain,Miami Heat,3.38,HOME,4.7,AWAY,1.3200000000000003
JT Thor,Charlotte Hornets,5.03,HOME,3.71,AWAY,1.3200000000000003
Kevin Love,Miami Heat,13.31,HOME,12.0,AWAY,1.3100000000000005
Jared Rhoden,Detroit Pistons,6.6,HOME,5.29,AWAY,1.3099999999999996
Talen Horton-Tucker,Utah Jazz,9.41,HOME,10.71,AWAY,1.3000000000000007
Bilal Coulibaly,Washington Wizards,10.52,HOME,9.22,AWAY,1.299999999999999
Paul Reed,Philadelphia 76ers,13.31,HOME,12.02,AWAY,1.290000000000001
Davis Bertans,Oklahoma City Thunder,4.0,HOME,2.71,AWAY,1.29
Kyle Kuzma,Washington Wizards,21.16,HOME,19.88,AWAY,1.2800000000000011
Karl-Anthony Towns,Minnesota Timberwolves,24.03,HOME,22.77,AWAY,1.2600000000000016
David Roddy,Phoenix Suns,2.17,HOME,0.91,AWAY,1.2599999999999998
Jalen Smith,Indiana Pacers,14.11,HOME,12.85,AWAY,1.2599999999999998
Jordan Miller,LA Clippers,1.0,HOME,2.25,AWAY,1.25
Robert Williams III,Portland Trail Blazers,12.5,HOME,13.75,AWAY,1.25
Isaiah Hartenstein,New York Knicks,16.72,HOME,17.97,AWAY,1.25
Tyler Herro,Miami Heat,18.32,HOME,19.57,AWAY,1.25
Isaiah Thomas,Phoenix Suns,1.5,HOME,0.25,AWAY,1.25
Jules Bernard,Washington Wizards,3.12,HOME,4.36,AWAY,1.2400000000000002
Tosan Evbuomwan,Detroit Pistons,9.57,HOME,8.33,AWAY,1.2400000000000002
Jabari Walker,Portland Trail Blazers,12.95,HOME,11.71,AWAY,1.2399999999999984
Shai Gilgeous-Alexander,Oklahoma City Thunder,31.59,HOME,32.82,AWAY,1.2300000000000004
Dennis Smith Jr.,Brooklyn Nets,10.18,HOME,8.96,AWAY,1.2199999999999989
Bismack Biyombo,Memphis Grizzlies,10.33,HOME,11.53,AWAY,1.1999999999999993
Spencer Dinwiddie,Los Angeles Lakers,8.25,HOME,7.06,AWAY,1.1900000000000004
Cory Joseph,Golden State Warriors,2.67,HOME,3.86,AWAY,1.19
Collin Sexton,Utah Jazz,17.03,HOME,18.22,AWAY,1.1899999999999977
Georges Niang,Cleveland Cavaliers,8.74,HOME,9.92,AWAY,1.1799999999999997
Bam Adebayo,Miami Heat,25.72,HOME,24.54,AWAY,1.1799999999999997
Isaiah Jackson,Indiana Pacers,9.71,HOME,10.88,AWAY,1.17
Drew Eubanks,Phoenix Suns,9.56,HOME,8.39,AWAY,1.17
Jordan Nwora,Toronto Raptors,8.18,HOME,9.35,AWAY,1.17
Jaden Ivey,Detroit Pistons,13.86,HOME,12.7,AWAY,1.1600000000000001
Jordan McLaughlin,Minnesota Timberwolves,6.23,HOME,5.08,AWAY,1.1500000000000004
Mark Williams,Charlotte Hornets,20.42,HOME,21.57,AWAY,1.1499999999999986
Jose Alvarado,New Orleans Pelicans,8.65,HOME,7.52,AWAY,1.1300000000000008
DeAndre Jordan,Denver Nuggets,6.87,HOME,8.0,AWAY,1.13
Luka Samanic,Utah Jazz,4.63,HOME,3.5,AWAY,1.13
Killian Hayes,Detroit Pistons,10.95,HOME,9.82,AWAY,1.129999999999999
Jaxson Hayes,Los Angeles Lakers,7.6,HOME,6.48,AWAY,1.1199999999999992
Gradey Dick,Toronto Raptors,7.81,HOME,6.73,AWAY,1.0799999999999992
Buddy Hield,Indiana Pacers,13.04,HOME,11.96,AWAY,1.0799999999999983
Torrey Craig,Chicago Bulls,8.96,HOME,7.89,AWAY,1.0700000000000012
Xavier Tillman,Memphis Grizzlies,8.67,HOME,9.74,AWAY,1.0700000000000003
