PLAYER_ID,DISPLAY_FIRST_LAST,TEAM_ID,TEAM_ABBREVIATION,HEADSHOT_URL
1630532,Franz Wagner,1610612753,ORL,https://cdn.nba.com/headshots/nba/latest/1040x760/1630532.png
1629021,Moritz Wagner,1610612753,ORL,https://cdn.nba.com/headshots/nba/latest/1040x760/1629021.png
1630688,Ish Wainright,1610612756,PHX,https://cdn.nba.com/headshots/nba/latest/1040x760/1630688.png
1631133,Jabari Walker,1610612757,POR,https://cdn.nba.com/headshots/nba/latest/1040x760/1631133.png
1641716,Jarace Walker,1610612754,IND,https://cdn.nba.com/headshots/nba/latest/1040x760/1641716.png
1629022,Lonnie Walker IV,1610612751,BKN,https://cdn.nba.com/headshots/nba/latest/1040x760/1629022.png
1641717,Cason Wallace,1610612760,OKC,https://cdn.nba.com/headshots/nba/latest/1040x760/1641717.png
1641775,Jordan Walsh,1610612738,BOS,https://cdn.nba.com/headshots/nba/latest/1040x760/1641775.png
203933,T.J. Warren,1610612750,MIN,https://cdn.nba.com/headshots/nba/latest/1040x760/203933.png
1629023,P.J. Washington,1610612742,DAL,https://cdn.nba.com/headshots/nba/latest/1040x760/1629023.png
1631102,TyTy Washington Jr.,1610612749,MIL,https://cdn.nba.com/headshots/nba/latest/1040x760/1631102.png
1629139,Yuta Watanabe,1610612763,MEM,https://cdn.nba.com/headshots/nba/latest/1040x760/1629139.png
1630322,Lindy Waters III,1610612760,OKC,https://cdn.nba.com/headshots/nba/latest/1040x760/1630322.png
1630570,Trendon Watford,1610612751,BKN,https://cdn.nba.com/headshots/nba/latest/1040x760/1630570.png
1631212,Peyton Watson,1610612743,DEN,https://cdn.nba.com/headshots/nba/latest/1040x760/1631212.png
1641705,Victor Wembanyama,1610612759,SAS,https://cdn.nba.com/headshots/nba/latest/1040x760/1641705.png
1631104,Blake Wesley,1610612759,SAS,https://cdn.nba.com/headshots/nba/latest/1040x760/1631104.png
201566,Russell Westbrook,1610612746,LAC,https://cdn.nba.com/headshots/nba/latest/1040x760/201566.png
1629632,Coby White,1610612741,CHI,https://cdn.nba.com/headshots/nba/latest/1040x760/1629632.png
1628401,Derrick White,1610612738,BOS,https://cdn.nba.com/headshots/nba/latest/1040x760/1628401.png
