SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,PlayerID,PlayerName
2023-24,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042300102,2024-04-24T00:00:00,MIA @ BOS,W,39.92,9,13,0.692,0,1,0.0,3,6,0.5,2,8,10,2,0,0,0,0,3,5,21,20,36.0,1,0,33.0,1,1,1,1,2,4,5,1,3,4,3,3,1,5,3,2,2,5,4,2,1,1,3,2,4,1,3,1,1,3,1,1628389,Bam Adebayo
2023-24,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0042300101,2024-04-21T00:00:00,MIA @ BOS,L,36.49666666666667,10,18,0.556,0,2,0.0,4,4,1.0,0,6,6,3,2,0,0,1,4,3,24,-6,33.7,0,0,33.0,1,2,2,2,4,2,3,2,3,3,3,1,3,1,4,3,4,3,3,2,1,3,4,4,2,2,5,3,1,3,1,1628389,Bam Adebayo
2023-24,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,0042300315,2024-05-30T00:00:00,MIN vs. DAL,L,13.683333333333334,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,2,0,0,1,0,0,-3,7.5,0,0,5.0,1,10,10,10,15,15,16,15,10,16,10,6,6,6,5,12,12,11,12,2,5,1,4,9,15,9,12,1,1,14,1,1629638,Nickeil Alexander-Walker
2023-24,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,0042300314,2024-05-28T00:00:00,MIN @ DAL,W,12.866666666666667,2,5,0.4,2,5,0.4,0,0,0.0,0,2,2,0,1,1,1,0,0,1,6,-2,13.4,0,0,14.0,1,1,1,1,16,7,11,6,6,5,5,6,6,6,5,4,5,15,4,4,3,1,1,4,7,8,7,1,1,7,1,1629638,Nickeil Alexander-Walker
2023-24,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,0042300313,2024-05-26T00:00:00,MIN @ DAL,L,20.3,1,4,0.25,1,4,0.25,0,0,0.0,0,2,2,3,1,0,0,0,2,0,3,9,8.9,0,0,9.0,1,10,10,10,10,12,14,11,7,10,7,6,6,6,5,4,5,5,4,6,5,1,10,9,12,6,11,1,1,10,1,1629638,Nickeil Alexander-Walker
2023-24,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,0042300312,2024-05-24T00:00:00,MIN vs. DAL,L,14.383333333333333,2,4,0.5,0,2,0.0,2,2,1.0,0,1,1,2,2,0,1,0,0,1,6,7,11.2,0,0,11.0,1,10,10,10,14,7,14,4,10,15,10,2,2,1,5,7,10,7,2,6,3,1,1,4,7,7,8,1,1,9,1,1629638,Nickeil Alexander-Walker
2023-24,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,0042300311,2024-05-22T00:00:00,MIN vs. DAL,L,16.05,1,6,0.167,0,4,0.0,0,0,0.0,0,1,1,2,0,0,0,1,1,0,2,-5,6.2,0,0,5.0,1,10,10,10,13,12,8,13,10,10,10,6,6,6,5,7,10,7,12,6,5,12,4,9,13,10,14,1,1,14,1,1629638,Nickeil Alexander-Walker
2023-24,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,0042300237,2024-05-19T00:00:00,MIN @ DEN,W,17.25,0,6,0.0,0,5,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0,1,0,-11,1.5,0,0,1.0,1,1,1,1,11,15,8,15,10,5,10,6,6,6,5,12,12,11,12,6,5,12,1,4,15,12,16,1,1,16,1,1629638,Nickeil Alexander-Walker
2023-24,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,0042300236,2024-05-16T00:00:00,MIN vs. DEN,W,16.833333333333332,3,5,0.6,3,5,0.6,0,0,0.0,0,0,0,1,0,0,0,0,1,0,9,16,10.5,0,0,13.0,1,1,1,1,12,6,11,1,5,5,1,6,6,6,5,12,12,11,12,6,5,1,4,9,6,3,9,1,1,8,1,1629638,Nickeil Alexander-Walker
2023-24,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,0042300235,2024-05-14T00:00:00,MIN @ DEN,L,39.166666666666664,5,12,0.417,4,8,0.5,0,0,0.0,1,1,2,5,1,0,2,2,1,0,14,-13,28.9,0,0,29.0,1,10,10,10,1,2,1,5,1,3,3,6,6,6,2,7,5,1,4,6,2,16,4,9,3,13,3,1,1,3,1,1629638,Nickeil Alexander-Walker
2023-24,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,0042300234,2024-05-12T00:00:00,MIN vs. DEN,L,24.386666666666667,1,7,0.143,0,4,0.0,0,0,0.0,0,3,3,3,1,0,0,1,1,0,2,-20,9.1,0,0,8.0,1,10,10,10,8,12,7,14,10,10,10,6,6,6,5,2,3,5,4,6,5,12,4,9,13,15,10,1,1,11,1,1629638,Nickeil Alexander-Walker
2023-24,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,0042300233,2024-05-10T00:00:00,MIN vs. DEN,L,25.95,2,5,0.4,0,3,0.0,2,2,1.0,0,0,0,2,2,0,0,0,2,2,6,-24,7.0,0,0,8.0,1,10,10,10,7,7,11,6,10,14,10,2,2,1,5,12,12,7,2,6,5,1,10,2,7,16,13,1,1,11,1,1629638,Nickeil Alexander-Walker
2023-24,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,0042300232,2024-05-06T00:00:00,MIN @ DEN,W,29.733333333333334,5,9,0.556,4,7,0.571,0,0,0.0,0,6,6,1,1,0,3,0,1,0,14,11,30.7,0,0,31.0,1,1,1,1,5,2,5,3,1,4,2,6,6,6,5,1,1,11,4,6,1,1,4,9,3,5,2,1,1,2,1,1629638,Nickeil Alexander-Walker
2023-24,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,0042300231,2024-05-04T00:00:00,MIN @ DEN,W,22.666666666666668,2,6,0.333,1,5,0.2,0,0,0.0,0,0,0,0,3,0,0,0,2,1,5,-16,2.0,0,0,6.0,1,1,1,1,9,7,8,10,7,5,9,6,6,6,5,12,12,15,1,6,5,1,10,4,10,14,15,1,1,13,1,1629638,Nickeil Alexander-Walker
2023-24,1629638,Nickeil Alexander-Walker,Nickeil,1610612750,MIN,Minnesota Timberwolves,0042300164,2024-04-28T00:00:00,MIN @ PHX,W,31.43166666666667,2,9,0.222,0,5,0.0,1,1,1.0,2,1,3,4,0,2,0,0,3,5,5,-6,20.6,0,0,16.0,1,1,1,1,3,7,5,12,10,5,10,4,4,1,1,7,3,4,12,2,5,1,15,1,10,11,6,1,1,6,1,1629638,Nickeil Alexander-Walker
